month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
2021-01,0.09348441926345609,0.03541076487252125,0.04107648725212465,0.07507082152974505,0.0028328611898017,0.032577903682719546,0.04815864022662889,0.05807365439093484,0.00424929178470255,0.007082152974504249,0.0084985835694051,0.021246458923512748,0.009915014164305949,0.0169971671388102,0.015580736543909348,0.0,0.009915014164305949,0.014164305949008499,0.009915014164305949,0.026912181303116147,0.021246458923512748,0.0169971671388102,0.018413597733711047,0.0226628895184136,0.024079320113314446,0.014164305949008499,0.0084985835694051,0.0113314447592068,0.019830028328611898,0.014164305949008499,0.0084985835694051,0.0028328611898017,0.019830028328611898,0.012747875354107648,0.00424929178470255,0.0028328611898017,0.014164305949008499,0.0,0.0084985835694051,0.00141643059490085,0.0056657223796034,0.0056657223796034,0.00141643059490085,0.0,0.00424929178470255,0.012747875354107648,0.0028328611898017,0.0113314447592068,0.007082152974504249,0.007082152974504249,0.0056657223796034,0.014164305949008499,0.0113314447592068,0.0084985835694051,0.0056657223796034,0.009915014164305949,0.0028328611898017,0.0,0.007082152974504249,0.0028328611898017,0.00424929178470255,0.0056657223796034,0.00424929178470255,0.0,0.007082152974504249,0.0028328611898017,0.0056657223796034,0.0028328611898017,0.009915014164305949,0.007082152974504249,0.00141643059490085,0.00424929178470255,0.0,0.0,0.00141643059490085,0.00141643059490085,0.0028328611898017,0.0,0.0,0.00424929178470255,0.00141643059490085,0.00141643059490085,0.00424929178470255,0.00424929178470255,0.00141643059490085,0.0,0.00424929178470255,0.0028328611898017,0.0028328611898017,0.0,0.0,0.00141643059490085,0.0,0.0,0.00424929178470255,0.0,0.0,0.00141643059490085,0.00141643059490085
2021-02,0.1323360184119678,0.0759493670886076,0.031070195627157654,0.0333716915995397,0.01380897583429229,0.031070195627157654,0.02531645569620253,0.04142692750287687,0.012658227848101266,0.011507479861910242,0.02531645569620253,0.012658227848101266,0.010356731875719217,0.01611047180667434,0.01380897583429229,0.0011507479861910242,0.009205983889528193,0.018411967779056387,0.00805523590333717,0.031070195627157654,0.009205983889528193,0.024165707710011506,0.031070195627157654,0.024165707710011506,0.01726121979286536,0.014959723820483314,0.009205983889528193,0.0034522439585730723,0.020713463751438434,0.006904487917146145,0.005753739930955121,0.006904487917146145,0.018411967779056387,0.01380897583429229,0.0023014959723820483,0.004602991944764097,0.005753739930955121,0.0011507479861910242,0.00805523590333717,0.0034522439585730723,0.0023014959723820483,0.01380897583429229,0.0034522439585730723,0.0023014959723820483,0.0023014959723820483,0.014959723820483314,0.005753739930955121,0.009205983889528193,0.005753739930955121,0.005753739930955121,0.0023014959723820483,0.00805523590333717,0.0023014959723820483,0.020713463751438434,0.005753739930955121,0.004602991944764097,0.0011507479861910242,0.0011507479861910242,0.0023014959723820483,0.0023014959723820483,0.010356731875719217,0.004602991944764097,0.0011507479861910242,0.005753739930955121,0.005753739930955121,0.0,0.005753739930955121,0.0011507479861910242,0.004602991944764097,0.004602991944764097,0.0011507479861910242,0.0023014959723820483,0.00805523590333717,0.0034522439585730723,0.0,0.0034522439585730723,0.0011507479861910242,0.004602991944764097,0.0,0.0011507479861910242,0.0023014959723820483,0.0023014959723820483,0.0,0.005753739930955121,0.0023014959723820483,0.0,0.004602991944764097,0.0,0.0023014959723820483,0.0,0.0011507479861910242,0.0,0.0,0.0,0.006904487917146145,0.0,0.0,0.0011507479861910242,0.0
2021-03,0.12311015118790497,0.058315334773218146,0.032397408207343416,0.052915766738660906,0.009719222462203024,0.056155507559395246,0.0183585313174946,0.038876889848812095,0.02159827213822894,0.012958963282937365,0.02267818574514039,0.01511879049676026,0.014038876889848811,0.023758099352051837,0.0021598272138228943,0.0064794816414686825,0.020518358531317494,0.02159827213822894,0.004319654427645789,0.02267818574514039,0.019438444924406047,0.020518358531317494,0.029157667386609073,0.017278617710583154,0.032397408207343416,0.017278617710583154,0.01079913606911447,0.00755939524838013,0.009719222462203024,0.01079913606911447,0.005399568034557235,0.005399568034557235,0.01079913606911447,0.005399568034557235,0.0064794816414686825,0.0010799136069114472,0.008639308855291577,0.0010799136069114472,0.005399568034557235,0.0064794816414686825,0.0032397408207343412,0.005399568034557235,0.005399568034557235,0.0,0.0064794816414686825,0.005399568034557235,0.00755939524838013,0.012958963282937365,0.01079913606911447,0.00755939524838013,0.012958963282937365,0.005399568034557235,0.0010799136069114472,0.00755939524838013,0.0,0.0021598272138228943,0.0032397408207343412,0.004319654427645789,0.005399568034557235,0.005399568034557235,0.0010799136069114472,0.0010799136069114472,0.0010799136069114472,0.0021598272138228943,0.0021598272138228943,0.0010799136069114472,0.0032397408207343412,0.0010799136069114472,0.00755939524838013,0.00755939524838013,0.0,0.0010799136069114472,0.0064794816414686825,0.004319654427645789,0.0,0.004319654427645789,0.0021598272138228943,0.005399568034557235,0.0,0.0010799136069114472,0.0010799136069114472,0.0010799136069114472,0.0021598272138228943,0.0032397408207343412,0.0010799136069114472,0.0,0.004319654427645789,0.0010799136069114472,0.004319654427645789,0.0,0.0010799136069114472,0.0,0.0010799136069114472,0.0,0.0032397408207343412,0.0010799136069114472,0.0010799136069114472,0.0,0.0
2021-04,0.07625649913344887,0.09358752166377816,0.047660311958405546,0.07972270363951472,0.006932409012131715,0.07192374350086655,0.033795493934142114,0.04852686308492201,0.009532062391681109,0.012998266897746967,0.008665511265164644,0.01386481802426343,0.012131715771230503,0.018197573656845753,0.0034662045060658577,0.005199306759098787,0.01559792027729636,0.01733102253032929,0.011265164644714038,0.02772963604852686,0.030329289428076257,0.010398613518197574,0.021663778162911613,0.02772963604852686,0.018197573656845753,0.009532062391681109,0.008665511265164644,0.011265164644714038,0.014731369150779897,0.012998266897746967,0.0017331022530329288,0.010398613518197574,0.006932409012131715,0.0025996533795493936,0.008665511265164644,0.0,0.008665511265164644,0.0017331022530329288,0.0025996533795493936,0.0025996533795493936,0.004332755632582322,0.006065857885615251,0.004332755632582322,0.0008665511265164644,0.006065857885615251,0.005199306759098787,0.006065857885615251,0.00779896013864818,0.005199306759098787,0.0025996533795493936,0.006932409012131715,0.0008665511265164644,0.005199306759098787,0.0025996533795493936,0.005199306759098787,0.006065857885615251,0.0017331022530329288,0.0017331022530329288,0.0034662045060658577,0.0008665511265164644,0.0017331022530329288,0.005199306759098787,0.0034662045060658577,0.0025996533795493936,0.0034662045060658577,0.006932409012131715,0.006065857885615251,0.0034662045060658577,0.008665511265164644,0.006932409012131715,0.0,0.0017331022530329288,0.004332755632582322,0.005199306759098787,0.0017331022530329288,0.0017331022530329288,0.004332755632582322,0.0034662045060658577,0.0,0.0008665511265164644,0.0017331022530329288,0.0034662045060658577,0.0025996533795493936,0.0,0.0008665511265164644,0.0008665511265164644,0.0017331022530329288,0.0008665511265164644,0.004332755632582322,0.0,0.0008665511265164644,0.0008665511265164644,0.0,0.0,0.0,0.0008665511265164644,0.0,0.0,0.0
2021-05,0.08434959349593496,0.04369918699186992,0.049796747967479675,0.07317073170731707,0.006097560975609756,0.06605691056910569,0.028455284552845527,0.029471544715447155,0.009146341463414634,0.016260162601626018,0.011178861788617886,0.024390243902439025,0.00508130081300813,0.022357723577235773,0.011178861788617886,0.003048780487804878,0.016260162601626018,0.024390243902439025,0.01524390243902439,0.01524390243902439,0.018292682926829267,0.021341463414634148,0.012195121951219513,0.034552845528455285,0.022357723577235773,0.011178861788617886,0.003048780487804878,0.006097560975609756,0.023373983739837397,0.011178861788617886,0.011178861788617886,0.008130081300813009,0.018292682926829267,0.012195121951219513,0.009146341463414634,0.0040650406504065045,0.00508130081300813,0.0,0.0020325203252032522,0.008130081300813009,0.0020325203252032522,0.01016260162601626,0.0040650406504065045,0.0,0.006097560975609756,0.007113821138211382,0.012195121951219513,0.012195121951219513,0.0040650406504065045,0.012195121951219513,0.01016260162601626,0.0020325203252032522,0.0040650406504065045,0.011178861788617886,0.0040650406504065045,0.0010162601626016261,0.0020325203252032522,0.0,0.006097560975609756,0.00508130081300813,0.0020325203252032522,0.0,0.003048780487804878,0.0020325203252032522,0.00508130081300813,0.008130081300813009,0.003048780487804878,0.0,0.003048780487804878,0.00508130081300813,0.0,0.0010162601626016261,0.003048780487804878,0.0040650406504065045,0.0040650406504065045,0.00508130081300813,0.007113821138211382,0.00508130081300813,0.0,0.003048780487804878,0.0010162601626016261,0.0010162601626016261,0.0010162601626016261,0.0020325203252032522,0.0040650406504065045,0.0010162601626016261,0.003048780487804878,0.0020325203252032522,0.0040650406504065045,0.0,0.0,0.0,0.0,0.0010162601626016261,0.003048780487804878,0.0,0.0,0.0,0.0
2021-06,0.0946656649135988,0.06611570247933884,0.04432757325319309,0.06311044327573254,0.012021036814425245,0.05259203606311044,0.025544703230653644,0.035311795642374154,0.0067618332081141996,0.018031555221637866,0.009767092411720512,0.02329075882794891,0.008264462809917356,0.02329075882794891,0.008264462809917356,0.0007513148009015778,0.010518407212622089,0.011269722013523666,0.0067618332081141996,0.045078888054094664,0.01728024042073629,0.029301277235161533,0.014274981217129978,0.03831705484598046,0.021036814425244178,0.005259203606311044,0.008264462809917356,0.010518407212622089,0.012021036814425245,0.004507888805409466,0.007513148009015778,0.005259203606311044,0.022539444027047332,0.011269722013523666,0.008264462809917356,0.004507888805409466,0.004507888805409466,0.0,0.003005259203606311,0.0067618332081141996,0.003756574004507889,0.021036814425244178,0.003005259203606311,0.002253944402704733,0.007513148009015778,0.011269722013523666,0.006010518407212622,0.006010518407212622,0.005259203606311044,0.0015026296018031556,0.007513148009015778,0.005259203606311044,0.003005259203606311,0.008264462809917356,0.0015026296018031556,0.0007513148009015778,0.0007513148009015778,0.0015026296018031556,0.007513148009015778,0.003005259203606311,0.004507888805409466,0.002253944402704733,0.003756574004507889,0.004507888805409466,0.002253944402704733,0.006010518407212622,0.003756574004507889,0.0007513148009015778,0.0067618332081141996,0.003005259203606311,0.0,0.0015026296018031556,0.006010518407212622,0.0,0.0,0.0007513148009015778,0.002253944402704733,0.003005259203606311,0.0,0.002253944402704733,0.003005259203606311,0.0007513148009015778,0.003005259203606311,0.004507888805409466,0.0007513148009015778,0.0,0.003005259203606311,0.003005259203606311,0.0067618332081141996,0.002253944402704733,0.003756574004507889,0.0015026296018031556,0.0,0.0,0.003005259203606311,0.0007513148009015778,0.002253944402704733,0.0,0.0015026296018031556
2021-07,0.1276127612761276,0.0781078107810781,0.0374037403740374,0.0352035203520352,0.011001100110011002,0.03850385038503851,0.019801980198019802,0.0242024202420242,0.009900990099009901,0.0088008800880088,0.0187018701870187,0.0187018701870187,0.006600660066006601,0.0176017601760176,0.0121012101210121,0.0,0.0176017601760176,0.0176017601760176,0.007700770077007701,0.03850385038503851,0.0121012101210121,0.0176017601760176,0.019801980198019802,0.015401540154015401,0.0231023102310231,0.0088008800880088,0.0121012101210121,0.006600660066006601,0.0297029702970297,0.0088008800880088,0.013201320132013201,0.006600660066006601,0.020902090209020903,0.015401540154015401,0.007700770077007701,0.005500550055005501,0.0088008800880088,0.0,0.0033003300330033004,0.0022002200220022,0.0033003300330033004,0.0176017601760176,0.0044004400440044,0.0011001100110011,0.0088008800880088,0.009900990099009901,0.0033003300330033004,0.011001100110011002,0.009900990099009901,0.006600660066006601,0.006600660066006601,0.0044004400440044,0.005500550055005501,0.007700770077007701,0.005500550055005501,0.0022002200220022,0.0011001100110011,0.0011001100110011,0.0044004400440044,0.005500550055005501,0.005500550055005501,0.0022002200220022,0.0022002200220022,0.0033003300330033004,0.011001100110011002,0.0044004400440044,0.006600660066006601,0.005500550055005501,0.0044004400440044,0.0033003300330033004,0.0,0.0011001100110011,0.007700770077007701,0.0033003300330033004,0.0011001100110011,0.0022002200220022,0.0033003300330033004,0.006600660066006601,0.0,0.0022002200220022,0.0,0.0011001100110011,0.0033003300330033004,0.0022002200220022,0.0011001100110011,0.0011001100110011,0.0,0.0,0.005500550055005501,0.0011001100110011,0.0011001100110011,0.0,0.0,0.0011001100110011,0.0022002200220022,0.0,0.0,0.0011001100110011,0.0
2021-08,0.07840909090909091,0.04659090909090909,0.038636363636363635,0.06704545454545455,0.005681818181818182,0.038636363636363635,0.028409090909090908,0.05,0.013636363636363636,0.011363636363636364,0.029545454545454545,0.03068181818181818,0.0125,0.017045454545454544,0.010227272727272727,0.0022727272727272726,0.025,0.031818181818181815,0.00909090909090909,0.019318181818181818,0.02159090909090909,0.01818181818181818,0.025,0.02727272727272727,0.01818181818181818,0.007954545454545454,0.007954545454545454,0.006818181818181818,0.0375,0.010227272727272727,0.006818181818181818,0.004545454545454545,0.019318181818181818,0.006818181818181818,0.007954545454545454,0.0,0.003409090909090909,0.0011363636363636363,0.003409090909090909,0.0022727272727272726,0.005681818181818182,0.0125,0.007954545454545454,0.003409090909090909,0.010227272727272727,0.010227272727272727,0.006818181818181818,0.003409090909090909,0.0022727272727272726,0.003409090909090909,0.007954545454545454,0.0022727272727272726,0.007954545454545454,0.0011363636363636363,0.007954545454545454,0.004545454545454545,0.0011363636363636363,0.0,0.010227272727272727,0.007954545454545454,0.005681818181818182,0.0011363636363636363,0.0011363636363636363,0.0011363636363636363,0.003409090909090909,0.004545454545454545,0.006818181818181818,0.0011363636363636363,0.007954545454545454,0.003409090909090909,0.0011363636363636363,0.0022727272727272726,0.004545454545454545,0.0022727272727272726,0.0,0.0011363636363636363,0.005681818181818182,0.004545454545454545,0.0,0.003409090909090909,0.0022727272727272726,0.0022727272727272726,0.0,0.0,0.0,0.0,0.0011363636363636363,0.0011363636363636363,0.004545454545454545,0.0022727272727272726,0.0,0.0,0.0,0.0,0.004545454545454545,0.0,0.0,0.0011363636363636363,0.0
2021-09,0.08270676691729323,0.042105263157894736,0.03609022556390978,0.08571428571428572,0.012030075187969926,0.08646616541353383,0.02857142857142857,0.06090225563909774,0.009774436090225564,0.012781954887218045,0.015037593984962405,0.012781954887218045,0.015037593984962405,0.019548872180451128,0.005263157894736842,0.002255639097744361,0.008270676691729323,0.02406015037593985,0.0030075187969924814,0.022556390977443608,0.02481203007518797,0.01804511278195489,0.02180451127819549,0.05037593984962406,0.014285714285714285,0.007518796992481203,0.008270676691729323,0.016541353383458645,0.02406015037593985,0.012030075187969926,0.0037593984962406013,0.0037593984962406013,0.008270676691729323,0.009774436090225564,0.006015037593984963,0.0015037593984962407,0.007518796992481203,0.0,0.0037593984962406013,0.006015037593984963,0.0030075187969924814,0.008270676691729323,0.0030075187969924814,0.0,0.0030075187969924814,0.004511278195488722,0.0037593984962406013,0.006766917293233083,0.0015037593984962407,0.009022556390977444,0.008270676691729323,0.0030075187969924814,0.004511278195488722,0.006015037593984963,0.004511278195488722,0.0015037593984962407,0.005263157894736842,0.0,0.005263157894736842,0.0007518796992481203,0.006015037593984963,0.0037593984962406013,0.005263157894736842,0.006015037593984963,0.0015037593984962407,0.006015037593984963,0.0015037593984962407,0.0007518796992481203,0.0037593984962406013,0.0015037593984962407,0.0007518796992481203,0.0015037593984962407,0.002255639097744361,0.006015037593984963,0.0007518796992481203,0.002255639097744361,0.0030075187969924814,0.006015037593984963,0.0,0.0015037593984962407,0.0030075187969924814,0.0015037593984962407,0.0007518796992481203,0.0037593984962406013,0.002255639097744361,0.0007518796992481203,0.0007518796992481203,0.0,0.0030075187969924814,0.0,0.0007518796992481203,0.002255639097744361,0.0015037593984962407,0.0007518796992481203,0.0,0.0007518796992481203,0.0030075187969924814,0.0,0.0
2021-10,0.1099476439790576,0.09424083769633508,0.032909498878085267,0.05235602094240838,0.010471204188481676,0.0456245325355273,0.020942408376963352,0.02916978309648467,0.009723261032161555,0.016454749439042633,0.018698578908002993,0.025430067314884067,0.011219147344801795,0.018698578908002993,0.009723261032161555,0.0014958863126402393,0.01720269259536275,0.02169035153328347,0.0074794315632011965,0.02243829468960359,0.014958863126402393,0.01944652206432311,0.02019446522064323,0.025430067314884067,0.02019446522064323,0.008227374719521317,0.008227374719521317,0.008227374719521317,0.01795063575168287,0.0074794315632011965,0.008227374719521317,0.006731488406881077,0.018698578908002993,0.008975317875841436,0.011219147344801795,0.0037397157816005983,0.011219147344801795,0.0014958863126402393,0.006731488406881077,0.005983545250560957,0.008227374719521317,0.006731488406881077,0.002243829468960359,0.0007479431563201197,0.005983545250560957,0.008227374719521317,0.002243829468960359,0.005983545250560957,0.009723261032161555,0.0037397157816005983,0.010471204188481676,0.004487658937920718,0.005235602094240838,0.008227374719521317,0.0014958863126402393,0.005983545250560957,0.0007479431563201197,0.0029917726252804786,0.0037397157816005983,0.0,0.0074794315632011965,0.004487658937920718,0.0037397157816005983,0.005235602094240838,0.0007479431563201197,0.0037397157816005983,0.0029917726252804786,0.002243829468960359,0.008227374719521317,0.005983545250560957,0.0014958863126402393,0.0014958863126402393,0.0037397157816005983,0.0014958863126402393,0.0029917726252804786,0.005235602094240838,0.0014958863126402393,0.0029917726252804786,0.0,0.002243829468960359,0.002243829468960359,0.0014958863126402393,0.002243829468960359,0.0029917726252804786,0.002243829468960359,0.0007479431563201197,0.0007479431563201197,0.0007479431563201197,0.002243829468960359,0.0,0.0,0.0,0.002243829468960359,0.002243829468960359,0.0014958863126402393,0.002243829468960359,0.0007479431563201197,0.0007479431563201197,0.0
